Iteration,File Group,Num Channels,Channel,Files Sent,Total Size (MB),Time Taken (s),Bandwidth (MB/s)
1,small,19,Channel 18,0,0.0,0,0.0
1,small,19,Channel 19,0,0.0,0,0.0
1,small,20,Channel 1,1,5.0,0.6281964778900146,7.959293272057163
1,small,20,Channel 2,1,8.0,0.6868255138397217,11.64779094369358
1,small,20,Channel 3,1,7.0,0.7916388511657715,8.842415944709844
1,small,20,Channel 4,1,8.0,0.8365375995635986,9.563228244819367
1,small,20,Channel 5,1,9.0,0.8639519214630127,10.417246349495278
1,small,20,Channel 6,1,6.0,0.7691218852996826,7.801104239365318
1,small,20,Channel 7,1,5.0,0.7072763442993164,7.069372587250028
1,small,20,Channel 8,1,6.0,0.7483463287353516,8.017678138595995
1,small,20,Channel 9,1,5.0,0.687171220779419,7.276206931845583
1,small,20,Channel 10,1,9.0,0.811211347579956,11.094519359041543
1,small,20,Channel 11,0,0.0,0,0.0
1,small,20,Channel 12,0,0.0,0,0.0
1,small,20,Channel 13,0,0.0,0,0.0
1,small,20,Channel 14,0,0.0,0,0.0
1,small,20,Channel 15,0,0.0,0,0.0
1,small,20,Channel 16,0,0.0,0,0.0
1,small,20,Channel 17,0,0.0,0,0.0
1,small,20,Channel 18,0,0.0,0,0.0
1,small,20,Channel 19,0,0.0,0,0.0
1,small,20,Channel 20,0,0.0,0,0.0
1,medium,1,Channel 1,5,153.0,2.2635490894317627,67.59296748382376
1,medium,2,Channel 1,3,82.0,2.2793233394622803,35.975589149780205
1,medium,2,Channel 2,2,71.0,2.114891529083252,33.571461715001796
1,medium,3,Channel 1,2,69.0,1.816396713256836,37.987296220263254
1,medium,3,Channel 2,2,44.0,1.6472280025482178,26.711542016000926
1,medium,3,Channel 3,1,40.0,1.4540290832519531,27.509766111788856
1,medium,4,Channel 1,2,69.0,1.8786687850952148,36.728134595850506
1,medium,4,Channel 2,1,13.0,0.610492467880249,21.294284014901248
1,medium,4,Channel 3,1,31.0,1.1660566329956055,26.585329668217607
1,medium,4,Channel 4,1,40.0,1.587512731552124,25.19664831972193
1,medium,5,Channel 1,1,33.0,1.7560951709747314,18.791692241647215
1,medium,5,Channel 2,1,36.0,1.8893814086914062,19.05385531708696
1,medium,5,Channel 3,1,13.0,1.0133633613586426,12.828567220518574
1,medium,5,Channel 4,1,31.0,1.779965877532959,17.41606420172849
1,medium,5,Channel 5,1,40.0,1.9073550701141357,20.971449221358878
1,medium,6,Channel 1,1,33.0,1.4712305068969727,22.430203727627653
1,medium,6,Channel 2,1,36.0,1.5820987224578857,22.754585089400635
1,medium,6,Channel 3,1,13.0,0.7462513446807861,17.42040412076019
1,medium,6,Channel 4,1,31.0,1.4104106426239014,21.979414408223825
1,medium,6,Channel 5,1,40.0,1.598832607269287,25.018253829785014
1,medium,6,Channel 6,0,0.0,0,0.0
1,medium,7,Channel 1,1,33.0,1.4903795719146729,22.14201041255906
1,medium,7,Channel 2,1,36.0,1.5379078388214111,23.408424803653325
1,medium,7,Channel 3,1,13.0,0.7117481231689453,18.264888345781042
1,medium,7,Channel 4,1,31.0,1.4155235290527344,21.90002452360869
1,medium,7,Channel 5,1,40.0,1.5718371868133545,25.447928281359424
1,medium,7,Channel 6,0,0.0,0,0.0
1,medium,7,Channel 7,0,0.0,0,0.0
1,medium,8,Channel 1,1,33.0,1.6028757095336914,20.587996813302734
1,medium,8,Channel 2,1,36.0,1.680494785308838,21.42226224961715
1,medium,8,Channel 3,1,13.0,0.7271747589111328,17.87740820303791
1,medium,8,Channel 4,1,31.0,1.529764175415039,20.264561360635483
1,medium,8,Channel 5,1,40.0,1.6866183280944824,23.716094704835466
1,medium,8,Channel 6,0,0.0,0,0.0
1,medium,8,Channel 7,0,0.0,0,0.0
1,medium,8,Channel 8,0,0.0,0,0.0
1,medium,9,Channel 1,1,33.0,1.3569848537445068,24.318620734003595
1,medium,9,Channel 2,1,36.0,1.487597942352295,24.200087251447968
1,medium,9,Channel 3,1,13.0,0.760685920715332,17.08983911227789
1,medium,9,Channel 4,1,31.0,1.3385510444641113,23.15937081981871
1,medium,9,Channel 5,1,40.0,1.504955768585205,26.57885423277498
1,medium,9,Channel 6,0,0.0,0,0.0
1,medium,9,Channel 7,0,0.0,0,0.0
1,medium,9,Channel 8,0,0.0,0,0.0
1,medium,9,Channel 9,0,0.0,0,0.0
1,medium,10,Channel 1,1,33.0,1.7441389560699463,18.920510825788
1,medium,10,Channel 2,1,36.0,1.905040979385376,18.897231287704212
1,medium,10,Channel 3,1,13.0,0.9088060855865479,14.304481677859515
1,medium,10,Channel 4,1,31.0,1.648554801940918,18.804349096252245
1,medium,10,Channel 5,1,40.0,1.9214885234832764,20.817194331969237
1,medium,10,Channel 6,0,0.0,0,0.0
1,medium,10,Channel 7,0,0.0,0,0.0
1,medium,10,Channel 8,0,0.0,0,0.0
1,medium,10,Channel 9,0,0.0,0,0.0
1,medium,10,Channel 10,0,0.0,0,0.0
1,medium,11,Channel 1,1,33.0,1.9065911769866943,17.30837758945021
1,medium,11,Channel 2,1,36.0,1.976059913635254,18.218071097739482
1,medium,11,Channel 3,1,13.0,0.9357357025146484,13.892811789765489
1,medium,11,Channel 4,1,31.0,1.8623919486999512,16.645260962194158
1,medium,11,Channel 5,1,40.0,2.027886152267456,19.72497319697878
1,medium,11,Channel 6,0,0.0,0,0.0
1,medium,11,Channel 7,0,0.0,0,0.0
1,medium,11,Channel 8,0,0.0,0,0.0
1,medium,11,Channel 9,0,0.0,0,0.0
1,medium,11,Channel 10,0,0.0,0,0.0
1,medium,11,Channel 11,0,0.0,0,0.0
1,medium,12,Channel 1,1,33.0,1.6740987300872803,19.712099057789455
1,medium,12,Channel 2,1,36.0,1.787933588027954,20.134976064579163
1,medium,12,Channel 3,1,13.0,0.887005090713501,14.656060191878817
1,medium,12,Channel 4,1,31.0,1.5986933708190918,19.390835394605485
